system|sub_system|sub_sub_system|root_cause|department
PAGS|(MSD) Motorized Screen Door|MC521 Control Box|MSD lock failed|WS20
PAGS|(MSD) Motorized Screen Door|MC521 Control Box|MSD unlock failed|WS20
PAGS|(MSD) Motorized Screen Door|MC521 Control Box|Belting loose / damaged|WS20
PAGS|(MSD) Motorized Screen Door|MC521 Control Box|Bolt lock fault|WS20
PAGS|(MSD) Motorized Screen Door|MC521 Control Box|Obstruction fault|WS20
PAGS|(MSD) Motorized Screen Door|MC521 Control Box|Open sensor error|WS20
PAGS|(MSD) Motorized Screen Door|MC521 Control Box|Close sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Timing Belt 3/4 - 28' Length|Motor power failure|WS20
PAGS|(MSD) Motorized Screen Door|Timing Belt 3/4 - 28' Length|MSD lock failed|WS20
PAGS|(MSD) Motorized Screen Door|Timing Belt 3/4 - 28' Length|MSD unlock failed|WS20
PAGS|(MSD) Motorized Screen Door|Timing Belt 3/4 - 28' Length|Belting loose / damaged|WS20
PAGS|(MSD) Motorized Screen Door|Timing Belt 3/4 - 28' Length|Bolt lock fault|WS20
PAGS|(MSD) Motorized Screen Door|Timing Belt 3/4 - 28' Length|Obstruction fault|WS20
PAGS|(MSD) Motorized Screen Door|Timing Belt 3/4 - 28' Length|Open sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Timing Belt 3/4 - 28' Length|Close sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Tensioner|Motor power failure|WS20
PAGS|(MSD) Motorized Screen Door|Tensioner|MSD lock failed|WS20
PAGS|(MSD) Motorized Screen Door|Tensioner|MSD unlock failed|WS20
PAGS|(MSD) Motorized Screen Door|Tensioner|Belting loose / damaged|WS20
PAGS|(MSD) Motorized Screen Door|Tensioner|Bolt lock fault|WS20
PAGS|(MSD) Motorized Screen Door|Tensioner|Obstruction fault|WS20
PAGS|(MSD) Motorized Screen Door|Tensioner|Open sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Tensioner|Close sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Bolt Lock|Motor power failure|WS20
PAGS|(MSD) Motorized Screen Door|Bolt Lock|MSD lock failed|WS20
PAGS|(MSD) Motorized Screen Door|Bolt Lock|MSD unlock failed|WS20
PAGS|(MSD) Motorized Screen Door|Bolt Lock|Belting loose / damaged|WS20
PAGS|(MSD) Motorized Screen Door|Bolt Lock|Bolt lock fault|WS20
